ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_RACA;DESC_RACA
Indicador  5.4.1.2;2;4.9;15;Pará;9471;2016;4;Homens;95251;Total
Indicador  5.4.1.2;2;5.0;15;Pará;9471;2016;4;Homens;2776;Branca
Indicador  5.4.1.2;2;4.9;15;Pará;9471;2016;4;Homens;119525;Preta ou parda
Indicador  5.4.1.2;2;11.8;15;Pará;9471;2016;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;11.7;15;Pará;9471;2016;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;11.8;15;Pará;9471;2016;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;8.5;15;Pará;9471;2017;6794;Total;95251;Total
Indicador  5.4.1.2;2;8.2;15;Pará;9471;2017;6794;Total;2776;Branca
Indicador  5.4.1.2;2;8.5;15;Pará;9471;2017;6794;Total;119525;Preta ou parda
Indicador  5.4.1.2;2;5.0;15;Pará;9471;2017;4;Homens;95251;Total
Indicador  5.4.1.2;2;4.9;15;Pará;9471;2017;4;Homens;2776;Branca
Indicador  5.4.1.2;2;5.0;15;Pará;9471;2017;4;Homens;119525;Preta ou parda
Indicador  5.4.1.2;2;11.8;15;Pará;9471;2017;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;11.1;15;Pará;9471;2017;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;11.9;15;Pará;9471;2017;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;8.9;15;Pará;9471;2018;6794;Total;95251;Total
Indicador  5.4.1.2;2;8.4;15;Pará;9471;2018;6794;Total;2776;Branca
Indicador  5.4.1.2;2;9.0;15;Pará;9471;2018;6794;Total;119525;Preta ou parda
Indicador  5.4.1.2;2;5.6;15;Pará;9471;2018;4;Homens;95251;Total
Indicador  5.4.1.2;2;5.3;15;Pará;9471;2018;4;Homens;2776;Branca
Indicador  5.4.1.2;2;5.6;15;Pará;9471;2018;4;Homens;119525;Preta ou parda
Indicador  5.4.1.2;2;12.3;15;Pará;9471;2018;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;11.2;15;Pará;9471;2018;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;12.5;15;Pará;9471;2018;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;9.1;15;Pará;9471;2019;6794;Total;95251;Total
Indicador  5.4.1.2;2;8.5;15;Pará;9471;2019;6794;Total;2776;Branca
Indicador  5.4.1.2;2;9.2;15;Pará;9471;2019;6794;Total;119525;Preta ou parda
Indicador  5.4.1.2;2;5.4;15;Pará;9471;2019;4;Homens;95251;Total
Indicador  5.4.1.2;2;5.1;15;Pará;9471;2019;4;Homens;2776;Branca
Indicador  5.4.1.2;2;5.5;15;Pará;9471;2019;4;Homens;119525;Preta ou parda
Indicador  5.4.1.2;2;12.7;15;Pará;9471;2019;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;11.4;15;Pará;9471;2019;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;12.9;15;Pará;9471;2019;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;8.5;15;Pará;9471;2022;6794;Total;95251;Total
Indicador  5.4.1.2;2;8.3;15;Pará;9471;2022;6794;Total;2776;Branca
Indicador  5.4.1.2;2;8.6;15;Pará;9471;2022;6794;Total;119525;Preta ou parda
Indicador  5.4.1.2;2;5.4;15;Pará;9471;2022;4;Homens;95251;Total
Indicador  5.4.1.2;2;5.5;15;Pará;9471;2022;4;Homens;2776;Branca
Indicador  5.4.1.2;2;5.3;15;Pará;9471;2022;4;Homens;119525;Preta ou parda
Indicador  5.4.1.2;2;11.8;15;Pará;9471;2022;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;10.8;15;Pará;9471;2022;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;12.0;15;Pará;9471;2022;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;6.6;16;Amapá;9471;2016;6794;Total;95251;Total
Indicador  5.4.1.2;2;6.3;16;Amapá;9471;2016;6794;Total;2776;Branca
Indicador  5.4.1.2;2;6.6;16;Amapá;9471;2016;6794;Total;119525;Preta ou parda
Indicador  5.4.1.2;2;4.6;16;Amapá;9471;2016;4;Homens;95251;Total
Indicador  5.4.1.2;2;4.2;16;Amapá;9471;2016;4;Homens;2776;Branca
Indicador  5.4.1.2;2;4.7;16;Amapá;9471;2016;4;Homens;119525;Preta ou parda
Indicador  5.4.1.2;2;8.5;16;Amapá;9471;2016;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;7.9;16;Amapá;9471;2016;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;8.6;16;Amapá;9471;2016;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;7.8;16;Amapá;9471;2017;6794;Total;95251;Total
Indicador  5.4.1.2;2;7.1;16;Amapá;9471;2017;6794;Total;2776;Branca
Indicador  5.4.1.2;2;7.9;16;Amapá;9471;2017;6794;Total;119525;Preta ou parda
Indicador  5.4.1.2;2;5.8;16;Amapá;9471;2017;4;Homens;95251;Total
Indicador  5.4.1.2;2;5.0;16;Amapá;9471;2017;4;Homens;2776;Branca
Indicador  5.4.1.2;2;5.9;16;Amapá;9471;2017;4;Homens;119525;Preta ou parda
Indicador  5.4.1.2;2;9.6;16;Amapá;9471;2017;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;8.8;16;Amapá;9471;2017;5;Mulheres;2776;Branca
