ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;COD_GRU_IDADE_NIV_ENS;DESC_GRU_IDADE_NIV_ENS
Indicador  4.1.2;2;97.9;23;Ceará;4721;2018;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;87.2;23;Ceará;4721;2018;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;63.5;23;Ceará;4721;2018;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;97.7;23;Ceará;4721;2019;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;87.4;23;Ceará;4721;2019;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;65.2;23;Ceará;4721;2019;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;97.6;23;Ceará;4721;2022;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;93.2;23;Ceará;4721;2022;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;72.7;23;Ceará;4721;2022;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;97.8;23;Ceará;4721;2023;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;95.0;23;Ceará;4721;2023;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;76.7;23;Ceará;4721;2023;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;91.9;24;Rio Grande do Norte;4721;2016;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;75.7;24;Rio Grande do Norte;4721;2016;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;59.6;24;Rio Grande do Norte;4721;2016;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;90.5;24;Rio Grande do Norte;4721;2017;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;72.5;24;Rio Grande do Norte;4721;2017;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;58.2;24;Rio Grande do Norte;4721;2017;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;92.7;24;Rio Grande do Norte;4721;2018;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;75.5;24;Rio Grande do Norte;4721;2018;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;58.1;24;Rio Grande do Norte;4721;2018;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;94.8;24;Rio Grande do Norte;4721;2019;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;78.7;24;Rio Grande do Norte;4721;2019;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;59.7;24;Rio Grande do Norte;4721;2019;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;97.9;24;Rio Grande do Norte;4721;2022;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;83.0;24;Rio Grande do Norte;4721;2022;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;61.0;24;Rio Grande do Norte;4721;2022;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;97.2;24;Rio Grande do Norte;4721;2023;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;79.5;24;Rio Grande do Norte;4721;2023;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;62.6;24;Rio Grande do Norte;4721;2023;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;92.3;25;Paraíba;4721;2016;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;71.9;25;Paraíba;4721;2016;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;58.2;25;Paraíba;4721;2016;59997;Ensino médio - Pessoas de 20 a 22 anos
