ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_RACA;DESC_RACA;CODG_SIT_DOM;DESC_SIT_DOM;SUB_INDICADOR
Indicador  16.1.3.3;1572;860.334;33;Rio de Janeiro;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;33;Rio de Janeiro;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;33;Rio de Janeiro;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;359.775;33;Rio de Janeiro;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;33;Rio de Janeiro;11392;2019;2777;Preta;1;Urbana;11392
Indicador  16.1.3.3;1572;-;33;Rio de Janeiro;11392;2019;2777;Preta;2;Rural;11392
Indicador  16.1.3.3;1572;894.764;33;Rio de Janeiro;11392;2019;2779;Parda;6795;Total;11392
Indicador  16.1.3.3;1572;-;33;Rio de Janeiro;11392;2019;2779;Parda;1;Urbana;11392
Indicador  16.1.3.3;1572;-;33;Rio de Janeiro;11392;2019;2779;Parda;2;Rural;11392
Indicador  16.1.3.3;1572;7098.117;35;São Paulo;11392;2019;95251;Total;6795;Total;11392
Indicador  16.1.3.3;1572;-;35;São Paulo;11392;2019;95251;Total;1;Urbana;11392
Indicador  16.1.3.3;1572;-;35;São Paulo;11392;2019;95251;Total;2;Rural;11392
Indicador  16.1.3.3;1572;3651.757;35;São Paulo;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;35;São Paulo;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;35;São Paulo;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;629.329;35;São Paulo;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;35;São Paulo;11392;2019;2777;Preta;1;Urbana;11392
Indicador  16.1.3.3;1572;-;35;São Paulo;11392;2019;2777;Preta;2;Rural;11392
Indicador  16.1.3.3;1572;2663.859;35;São Paulo;11392;2019;2779;Parda;6795;Total;11392
Indicador  16.1.3.3;1572;-;35;São Paulo;11392;2019;2779;Parda;1;Urbana;11392
Indicador  16.1.3.3;1572;-;35;São Paulo;11392;2019;2779;Parda;2;Rural;11392
Indicador  16.1.3.3;1572;1634.131;41;Paraná;11392;2019;95251;Total;6795;Total;11392
Indicador  16.1.3.3;1572;-;41;Paraná;11392;2019;95251;Total;1;Urbana;11392
Indicador  16.1.3.3;1572;-;41;Paraná;11392;2019;95251;Total;2;Rural;11392
Indicador  16.1.3.3;1572;1003.781;41;Paraná;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;41;Paraná;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;41;Paraná;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;93.469;41;Paraná;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;41;Paraná;11392;2019;2777;Preta;1;Urbana;11392
Indicador  16.1.3.3;1572;-;41;Paraná;11392;2019;2777;Preta;2;Rural;11392
Indicador  16.1.3.3;1572;506.673;41;Paraná;11392;2019;2779;Parda;6795;Total;11392
Indicador  16.1.3.3;1572;-;41;Paraná;11392;2019;2779;Parda;1;Urbana;11392
Indicador  16.1.3.3;1572;-;41;Paraná;11392;2019;2779;Parda;2;Rural;11392
Indicador  16.1.3.3;1572;752.243;42;Santa Catarina;11392;2019;95251;Total;6795;Total;11392
Indicador  16.1.3.3;1572;-;42;Santa Catarina;11392;2019;95251;Total;1;Urbana;11392
Indicador  16.1.3.3;1572;-;42;Santa Catarina;11392;2019;95251;Total;2;Rural;11392
Indicador  16.1.3.3;1572;563.412;42;Santa Catarina;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;42;Santa Catarina;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;42;Santa Catarina;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;22.642;42;Santa Catarina;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;42;Santa Catarina;11392;2019;2777;Preta;1;Urbana;11392
