ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_IDADE;DESC_IDADE
Indicador  8.5.2.3;2;2.0;12;Acre;10004;2012;3302;60 anos ou mais
Indicador  8.5.2.3;2;8.5;12;Acre;10004;2013;95253;Total
Indicador  8.5.2.3;2;22.4;12;Acre;10004;2013;2792;15 a 17 anos
Indicador  8.5.2.3;2;15.8;12;Acre;10004;2013;100052;18 a 24 anos
Indicador  8.5.2.3;2;12.2;12;Acre;10004;2013;1145;25 a 29 anos
Indicador  8.5.2.3;2;6.3;12;Acre;10004;2013;3299;30 a 39 anos
Indicador  8.5.2.3;2;4.1;12;Acre;10004;2013;3300;40 a 49 anos
Indicador  8.5.2.3;2;1.4;12;Acre;10004;2013;3301;50 a 59 anos
Indicador  8.5.2.3;2;3.1;12;Acre;10004;2013;3302;60 anos ou mais
Indicador  8.5.2.3;2;8.1;12;Acre;10004;2014;95253;Total
Indicador  8.5.2.3;2;17.6;12;Acre;10004;2014;2792;15 a 17 anos
Indicador  8.5.2.3;2;20.5;12;Acre;10004;2014;100052;18 a 24 anos
Indicador  8.5.2.3;2;9.5;12;Acre;10004;2014;1145;25 a 29 anos
Indicador  8.5.2.3;2;5.5;12;Acre;10004;2014;3299;30 a 39 anos
Indicador  8.5.2.3;2;3.0;12;Acre;10004;2014;3300;40 a 49 anos
Indicador  8.5.2.3;2;1.8;12;Acre;10004;2014;3301;50 a 59 anos
Indicador  8.5.2.3;2;1.4;12;Acre;10004;2014;3302;60 anos ou mais
Indicador  8.5.2.3;2;8.9;12;Acre;10004;2015;95253;Total
Indicador  8.5.2.3;2;14.7;12;Acre;10004;2015;2792;15 a 17 anos
Indicador  8.5.2.3;2;21.8;12;Acre;10004;2015;100052;18 a 24 anos
Indicador  8.5.2.3;2;7.8;12;Acre;10004;2015;1145;25 a 29 anos
Indicador  8.5.2.3;2;7.0;12;Acre;10004;2015;3299;30 a 39 anos
Indicador  8.5.2.3;2;4.7;12;Acre;10004;2015;3300;40 a 49 anos
Indicador  8.5.2.3;2;3.2;12;Acre;10004;2015;3301;50 a 59 anos
Indicador  8.5.2.3;2;0.4;12;Acre;10004;2015;3302;60 anos ou mais
Indicador  8.5.2.3;2;10.5;12;Acre;10004;2016;95253;Total
Indicador  8.5.2.3;2;32.9;12;Acre;10004;2016;2792;15 a 17 anos
Indicador  8.5.2.3;2;19.3;12;Acre;10004;2016;100052;18 a 24 anos
Indicador  8.5.2.3;2;14.4;12;Acre;10004;2016;1145;25 a 29 anos
Indicador  8.5.2.3;2;8.2;12;Acre;10004;2016;3299;30 a 39 anos
Indicador  8.5.2.3;2;6.0;12;Acre;10004;2016;3300;40 a 49 anos
Indicador  8.5.2.3;2;3.3;12;Acre;10004;2016;3301;50 a 59 anos
Indicador  8.5.2.3;2;0.5;12;Acre;10004;2016;3302;60 anos ou mais
Indicador  8.5.2.3;2;14.1;12;Acre;10004;2017;95253;Total
Indicador  8.5.2.3;2;38.0;12;Acre;10004;2017;2792;15 a 17 anos
Indicador  8.5.2.3;2;27.6;12;Acre;10004;2017;100052;18 a 24 anos
Indicador  8.5.2.3;2;17.9;12;Acre;10004;2017;1145;25 a 29 anos
Indicador  8.5.2.3;2;10.2;12;Acre;10004;2017;3299;30 a 39 anos
Indicador  8.5.2.3;2;8.0;12;Acre;10004;2017;3300;40 a 49 anos
Indicador  8.5.2.3;2;5.9;12;Acre;10004;2017;3301;50 a 59 anos
Indicador  8.5.2.3;2;4.3;12;Acre;10004;2017;3302;60 anos ou mais
Indicador  8.5.2.3;2;13.4;12;Acre;10004;2018;95253;Total
Indicador  8.5.2.3;2;44.6;12;Acre;10004;2018;2792;15 a 17 anos
Indicador  8.5.2.3;2;27.5;12;Acre;10004;2018;100052;18 a 24 anos
Indicador  8.5.2.3;2;16.4;12;Acre;10004;2018;1145;25 a 29 anos
Indicador  8.5.2.3;2;10.3;12;Acre;10004;2018;3299;30 a 39 anos
Indicador  8.5.2.3;2;6.8;12;Acre;10004;2018;3300;40 a 49 anos
Indicador  8.5.2.3;2;6.0;12;Acre;10004;2018;3301;50 a 59 anos
Indicador  8.5.2.3;2;2.6;12;Acre;10004;2018;3302;60 anos ou mais
Indicador  8.5.2.3;2;14.7;12;Acre;10004;2019;95253;Total
Indicador  8.5.2.3;2;37.8;12;Acre;10004;2019;2792;15 a 17 anos
Indicador  8.5.2.3;2;29.5;12;Acre;10004;2019;100052;18 a 24 anos
Indicador  8.5.2.3;2;18.6;12;Acre;10004;2019;1145;25 a 29 anos
Indicador  8.5.2.3;2;14.3;12;Acre;10004;2019;3299;30 a 39 anos
Indicador  8.5.2.3;2;6.2;12;Acre;10004;2019;3300;40 a 49 anos
Indicador  8.5.2.3;2;7.1;12;Acre;10004;2019;3301;50 a 59 anos
Indicador  8.5.2.3;2;0.7;12;Acre;10004;2019;3302;60 anos ou mais
Indicador  8.5.2.3;2;15.7;12;Acre;10004;2020;95253;Total
Indicador  8.5.2.3;2;38.5;12;Acre;10004;2020;2792;15 a 17 anos
Indicador  8.5.2.3;2;35.1;12;Acre;10004;2020;100052;18 a 24 anos
Indicador  8.5.2.3;2;20.5;12;Acre;10004;2020;1145;25 a 29 anos
Indicador  8.5.2.3;2;12.1;12;Acre;10004;2020;3299;30 a 39 anos
Indicador  8.5.2.3;2;9.8;12;Acre;10004;2020;3300;40 a 49 anos
Indicador  8.5.2.3;2;5.3;12;Acre;10004;2020;3301;50 a 59 anos
Indicador  8.5.2.3;2;2.8;12;Acre;10004;2020;3302;60 anos ou mais
Indicador  8.5.2.3;2;16.2;12;Acre;10004;2021;95253;Total
Indicador  8.5.2.3;2;40.2;12;Acre;10004;2021;2792;15 a 17 anos
Indicador  8.5.2.3;2;29.6;12;Acre;10004;2021;100052;18 a 24 anos
Indicador  8.5.2.3;2;22.0;12;Acre;10004;2021;1145;25 a 29 anos
Indicador  8.5.2.3;2;13.4;12;Acre;10004;2021;3299;30 a 39 anos
Indicador  8.5.2.3;2;10.1;12;Acre;10004;2021;3300;40 a 49 anos
Indicador  8.5.2.3;2;6.7;12;Acre;10004;2021;3301;50 a 59 anos
Indicador  8.5.2.3;2;4.1;12;Acre;10004;2021;3302;60 anos ou mais
Indicador  8.5.2.3;2;12.4;12;Acre;10004;2022;95253;Total
Indicador  8.5.2.3;2;38.6;12;Acre;10004;2022;2792;15 a 17 anos
Indicador  8.5.2.3;2;28.2;12;Acre;10004;2022;100052;18 a 24 anos
Indicador  8.5.2.3;2;13.7;12;Acre;10004;2022;1145;25 a 29 anos
Indicador  8.5.2.3;2;10.0;12;Acre;10004;2022;3299;30 a 39 anos
Indicador  8.5.2.3;2;7.1;12;Acre;10004;2022;3300;40 a 49 anos
Indicador  8.5.2.3;2;4.9;12;Acre;10004;2022;3301;50 a 59 anos
Indicador  8.5.2.3;2;5.2;12;Acre;10004;2022;3302;60 anos ou mais
Indicador  8.5.2.3;2;7.5;12;Acre;10004;2023;95253;Total
Indicador  8.5.2.3;2;12.5;12;Acre;10004;2023;2792;15 a 17 anos
Indicador  8.5.2.3;2;16.9;12;Acre;10004;2023;100052;18 a 24 anos
Indicador  8.5.2.3;2;9.7;12;Acre;10004;2023;1145;25 a 29 anos
Indicador  8.5.2.3;2;7.1;12;Acre;10004;2023;3299;30 a 39 anos
Indicador  8.5.2.3;2;4.0;12;Acre;10004;2023;3300;40 a 49 anos
Indicador  8.5.2.3;2;1.8;12;Acre;10004;2023;3301;50 a 59 anos
Indicador  8.5.2.3;2;4.1;12;Acre;10004;2023;3302;60 anos ou mais
Indicador  8.5.2.3;2;6.4;12;Acre;10004;2024;95253;Total
Indicador  8.5.2.3;2;9.2;12;Acre;10004;2024;2792;15 a 17 anos
Indicador  8.5.2.3;2;16.1;12;Acre;10004;2024;100052;18 a 24 anos
Indicador  8.5.2.3;2;8.9;12;Acre;10004;2024;1145;25 a 29 anos
Indicador  8.5.2.3;2;3.8;12;Acre;10004;2024;3299;30 a 39 anos
