ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_CLAS_PERC_REND_DOM_PER_CAP;DESC_CLAS_PERC_REND_DOM_PER_CAP
Indicador  4.2.1.4;2;97.8;21;Maranhão;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;21;Maranhão;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;98.4;21;Maranhão;9310;2019;49243;Total
Indicador  4.2.1.4;2;100.0;22;Piauí;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;100.0;22;Piauí;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;99.7;22;Piauí;9310;2016;49243;Total
Indicador  4.2.1.4;2;100.0;22;Piauí;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;100.0;22;Piauí;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;99.6;22;Piauí;9310;2017;49243;Total
Indicador  4.2.1.4;2;97.9;22;Piauí;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;22;Piauí;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;99.0;22;Piauí;9310;2018;49243;Total
Indicador  4.2.1.4;2;100.0;22;Piauí;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;22;Piauí;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;100.0;22;Piauí;9310;2019;49243;Total
Indicador  4.2.1.4;2;97.0;23;Ceará;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;98.9;23;Ceará;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;98.6;23;Ceará;9310;2016;49243;Total
Indicador  4.2.1.4;2;98.1;23;Ceará;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;100.0;23;Ceará;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;98.0;23;Ceará;9310;2017;49243;Total
Indicador  4.2.1.4;2;100.0;23;Ceará;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;23;Ceará;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;99.8;23;Ceará;9310;2018;49243;Total
Indicador  4.2.1.4;2;98.1;23;Ceará;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;23;Ceará;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;98.1;23;Ceará;9310;2019;49243;Total
Indicador  4.2.1.4;2;92.2;24;Rio Grande do Norte;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;100.0;24;Rio Grande do Norte;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;97.0;24;Rio Grande do Norte;9310;2016;49243;Total
Indicador  4.2.1.4;2;97.6;24;Rio Grande do Norte;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;100.0;24;Rio Grande do Norte;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;98.3;24;Rio Grande do Norte;9310;2017;49243;Total
Indicador  4.2.1.4;2;94.5;24;Rio Grande do Norte;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;24;Rio Grande do Norte;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;98.0;24;Rio Grande do Norte;9310;2018;49243;Total
Indicador  4.2.1.4;2;97.9;24;Rio Grande do Norte;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;24;Rio Grande do Norte;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;99.4;24;Rio Grande do Norte;9310;2019;49243;Total
Indicador  4.2.1.4;2;91.7;25;Paraíba;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;100.0;25;Paraíba;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;95.0;25;Paraíba;9310;2016;49243;Total
Indicador  4.2.1.4;2;97.6;25;Paraíba;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;100.0;25;Paraíba;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;97.9;25;Paraíba;9310;2017;49243;Total
Indicador  4.2.1.4;2;96.4;25;Paraíba;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;25;Paraíba;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;98.4;25;Paraíba;9310;2018;49243;Total
Indicador  4.2.1.4;2;99.1;25;Paraíba;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;25;Paraíba;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;96.7;25;Paraíba;9310;2019;49243;Total
Indicador  4.2.1.4;2;94.9;26;Pernambuco;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;100.0;26;Pernambuco;9310;2016;58677;Maior que o P80
