ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_GRUP_OCUP_TRAB_PNAD;DESC_GRUP_OCUP_TRAB_PNAD
Indicador  8.5.1.3;1769;7.9;11;Rondônia;8828;2013;33378;Ocupações elementares
Indicador  8.5.1.3;1769;21.2;11;Rondônia;8828;2013;33379;Membros das forças armadas, policiais e bombeiros militares
Indicador  8.5.1.3;1769;14.2;11;Rondônia;8828;2014;33356;Total
Indicador  8.5.1.3;1769;22.2;11;Rondônia;8828;2014;33370;Diretores e gerentes
Indicador  8.5.1.3;1769;29.0;11;Rondônia;8828;2014;33371;Profissionais das ciências e intelectuais
Indicador  8.5.1.3;1769;18.0;11;Rondônia;8828;2014;33372;Técnicos e profissionais de nível médio
Indicador  8.5.1.3;1769;13.7;11;Rondônia;8828;2014;33373;Trabalhadores de apoio administrativo
Indicador  8.5.1.3;1769;12.8;11;Rondônia;8828;2014;33374;Trabalhadores dos serviços, vendedores dos comércios e mercados
Indicador  8.5.1.3;1769;11.2;11;Rondônia;8828;2014;33375;Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca
Indicador  8.5.1.3;1769;13.3;11;Rondônia;8828;2014;33376;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios
Indicador  8.5.1.3;1769;13.0;11;Rondônia;8828;2014;33377;Operadores de instalações e máquinas e montadores
Indicador  8.5.1.3;1769;8.8;11;Rondônia;8828;2014;33378;Ocupações elementares
Indicador  8.5.1.3;1769;27.3;11;Rondônia;8828;2014;33379;Membros das forças armadas, policiais e bombeiros militares
Indicador  8.5.1.3;1769;14.5;11;Rondônia;8828;2015;33356;Total
Indicador  8.5.1.3;1769;22.7;11;Rondônia;8828;2015;33370;Diretores e gerentes
Indicador  8.5.1.3;1769;29.0;11;Rondônia;8828;2015;33371;Profissionais das ciências e intelectuais
Indicador  8.5.1.3;1769;18.0;11;Rondônia;8828;2015;33372;Técnicos e profissionais de nível médio
Indicador  8.5.1.3;1769;16.5;11;Rondônia;8828;2015;33373;Trabalhadores de apoio administrativo
Indicador  8.5.1.3;1769;12.5;11;Rondônia;8828;2015;33374;Trabalhadores dos serviços, vendedores dos comércios e mercados
Indicador  8.5.1.3;1769;13.1;11;Rondônia;8828;2015;33375;Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca
Indicador  8.5.1.3;1769;12.3;11;Rondônia;8828;2015;33376;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios
Indicador  8.5.1.3;1769;13.9;11;Rondônia;8828;2015;33377;Operadores de instalações e máquinas e montadores
Indicador  8.5.1.3;1769;8.0;11;Rondônia;8828;2015;33378;Ocupações elementares
Indicador  8.5.1.3;1769;31.8;11;Rondônia;8828;2015;33379;Membros das forças armadas, policiais e bombeiros militares
Indicador  8.5.1.3;1769;13.6;11;Rondônia;8828;2016;33356;Total
Indicador  8.5.1.3;1769;23.3;11;Rondônia;8828;2016;33370;Diretores e gerentes
Indicador  8.5.1.3;1769;34.0;11;Rondônia;8828;2016;33371;Profissionais das ciências e intelectuais
Indicador  8.5.1.3;1769;19.1;11;Rondônia;8828;2016;33372;Técnicos e profissionais de nível médio
Indicador  8.5.1.3;1769;13.2;11;Rondônia;8828;2016;33373;Trabalhadores de apoio administrativo
Indicador  8.5.1.3;1769;11.1;11;Rondônia;8828;2016;33374;Trabalhadores dos serviços, vendedores dos comércios e mercados
Indicador  8.5.1.3;1769;11.4;11;Rondônia;8828;2016;33375;Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca
Indicador  8.5.1.3;1769;10.8;11;Rondônia;8828;2016;33376;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios
Indicador  8.5.1.3;1769;12.5;11;Rondônia;8828;2016;33377;Operadores de instalações e máquinas e montadores
Indicador  8.5.1.3;1769;8.4;11;Rondônia;8828;2016;33378;Ocupações elementares
Indicador  8.5.1.3;1769;25.6;11;Rondônia;8828;2016;33379;Membros das forças armadas, policiais e bombeiros militares
Indicador  8.5.1.3;1769;14.3;11;Rondônia;8828;2017;33356;Total
Indicador  8.5.1.3;1769;22.9;11;Rondônia;8828;2017;33370;Diretores e gerentes
Indicador  8.5.1.3;1769;29.1;11;Rondônia;8828;2017;33371;Profissionais das ciências e intelectuais
Indicador  8.5.1.3;1769;19.0;11;Rondônia;8828;2017;33372;Técnicos e profissionais de nível médio
Indicador  8.5.1.3;1769;13.8;11;Rondônia;8828;2017;33373;Trabalhadores de apoio administrativo
Indicador  8.5.1.3;1769;12.2;11;Rondônia;8828;2017;33374;Trabalhadores dos serviços, vendedores dos comércios e mercados
Indicador  8.5.1.3;1769;13.6;11;Rondônia;8828;2017;33375;Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca
Indicador  8.5.1.3;1769;11.1;11;Rondônia;8828;2017;33376;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios
Indicador  8.5.1.3;1769;13.8;11;Rondônia;8828;2017;33377;Operadores de instalações e máquinas e montadores
Indicador  8.5.1.3;1769;8.8;11;Rondônia;8828;2017;33378;Ocupações elementares
