ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_IDADE;DESC_IDADE
Indicador  16.1.1.3;45;1.99;1;Brasil;9502;2022;5;Mulheres;1151;55 a 59 anos
Indicador  16.1.1.3;45;1.50;1;Brasil;9502;2022;5;Mulheres;3302;60 anos ou mais
Indicador  16.1.1.3;45;1.40;11;Rondônia;9502;2018;4;Homens;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.00;11;Rondônia;9502;2018;4;Homens;1141;5 a 9 anos
Indicador  16.1.1.3;45;1.38;11;Rondônia;9502;2018;4;Homens;1142;10 a 14 anos
Indicador  16.1.1.3;45;49.34;11;Rondônia;9502;2018;4;Homens;1143;15 a 19 anos
Indicador  16.1.1.3;45;87.97;11;Rondônia;9502;2018;4;Homens;1144;20 a 24 anos
Indicador  16.1.1.3;45;75.13;11;Rondônia;9502;2018;4;Homens;1145;25 a 29 anos
Indicador  16.1.1.3;45;76.04;11;Rondônia;9502;2018;4;Homens;1146;30 a 34 anos
Indicador  16.1.1.3;45;63.69;11;Rondônia;9502;2018;4;Homens;1147;35 a 39 anos
Indicador  16.1.1.3;45;76.39;11;Rondônia;9502;2018;4;Homens;1148;40 a 44 anos
Indicador  16.1.1.3;45;48.78;11;Rondônia;9502;2018;4;Homens;1149;45 a 49 anos
Indicador  16.1.1.3;45;73.87;11;Rondônia;9502;2018;4;Homens;1150;50 a 54 anos
Indicador  16.1.1.3;45;34.20;11;Rondônia;9502;2018;4;Homens;1151;55 a 59 anos
Indicador  16.1.1.3;45;31.83;11;Rondônia;9502;2018;4;Homens;3302;60 anos ou mais
Indicador  16.1.1.3;45;1.47;11;Rondônia;9502;2018;5;Mulheres;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.00;11;Rondônia;9502;2018;5;Mulheres;1141;5 a 9 anos
Indicador  16.1.1.3;45;1.45;11;Rondônia;9502;2018;5;Mulheres;1142;10 a 14 anos
Indicador  16.1.1.3;45;6.58;11;Rondônia;9502;2018;5;Mulheres;1143;15 a 19 anos
Indicador  16.1.1.3;45;10.28;11;Rondônia;9502;2018;5;Mulheres;1144;20 a 24 anos
Indicador  16.1.1.3;45;3.88;11;Rondônia;9502;2018;5;Mulheres;1145;25 a 29 anos
Indicador  16.1.1.3;45;6.56;11;Rondônia;9502;2018;5;Mulheres;1146;30 a 34 anos
Indicador  16.1.1.3;45;8.30;11;Rondônia;9502;2018;5;Mulheres;1147;35 a 39 anos
Indicador  16.1.1.3;45;6.26;11;Rondônia;9502;2018;5;Mulheres;1148;40 a 44 anos
Indicador  16.1.1.3;45;8.97;11;Rondônia;9502;2018;5;Mulheres;1149;45 a 49 anos
Indicador  16.1.1.3;45;2.11;11;Rondônia;9502;2018;5;Mulheres;1150;50 a 54 anos
Indicador  16.1.1.3;45;2.61;11;Rondônia;9502;2018;5;Mulheres;1151;55 a 59 anos
Indicador  16.1.1.3;45;2.49;11;Rondônia;9502;2018;5;Mulheres;3302;60 anos ou mais
Indicador  16.1.1.3;45;0.00;11;Rondônia;9502;2019;4;Homens;1140;0 a 4 anos
Indicador  16.1.1.3;45;4.36;11;Rondônia;9502;2019;4;Homens;1141;5 a 9 anos
Indicador  16.1.1.3;45;1.40;11;Rondônia;9502;2019;4;Homens;1142;10 a 14 anos
Indicador  16.1.1.3;45;37.32;11;Rondônia;9502;2019;4;Homens;1143;15 a 19 anos
Indicador  16.1.1.3;45;61.51;11;Rondônia;9502;2019;4;Homens;1144;20 a 24 anos
Indicador  16.1.1.3;45;78.79;11;Rondônia;9502;2019;4;Homens;1145;25 a 29 anos
Indicador  16.1.1.3;45;60.21;11;Rondônia;9502;2019;4;Homens;1146;30 a 34 anos
Indicador  16.1.1.3;45;66.55;11;Rondônia;9502;2019;4;Homens;1147;35 a 39 anos
Indicador  16.1.1.3;45;67.96;11;Rondônia;9502;2019;4;Homens;1148;40 a 44 anos
Indicador  16.1.1.3;45;64.39;11;Rondônia;9502;2019;4;Homens;1149;45 a 49 anos
Indicador  16.1.1.3;45;62.57;11;Rondônia;9502;2019;4;Homens;1150;50 a 54 anos
Indicador  16.1.1.3;45;25.87;11;Rondônia;9502;2019;4;Homens;1151;55 a 59 anos
Indicador  16.1.1.3;45;37.50;11;Rondônia;9502;2019;4;Homens;3302;60 anos ou mais
Indicador  16.1.1.3;45;2.93;11;Rondônia;9502;2019;5;Mulheres;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.00;11;Rondônia;9502;2019;5;Mulheres;1141;5 a 9 anos
Indicador  16.1.1.3;45;0.00;11;Rondônia;9502;2019;5;Mulheres;1142;10 a 14 anos
Indicador  16.1.1.3;45;6.69;11;Rondônia;9502;2019;5;Mulheres;1143;15 a 19 anos
Indicador  16.1.1.3;45;2.58;11;Rondônia;9502;2019;5;Mulheres;1144;20 a 24 anos
Indicador  16.1.1.3;45;9.00;11;Rondônia;9502;2019;5;Mulheres;1145;25 a 29 anos
Indicador  16.1.1.3;45;6.55;11;Rondônia;9502;2019;5;Mulheres;1146;30 a 34 anos
Indicador  16.1.1.3;45;4.08;11;Rondônia;9502;2019;5;Mulheres;1147;35 a 39 anos
Indicador  16.1.1.3;45;7.63;11;Rondônia;9502;2019;5;Mulheres;1148;40 a 44 anos
Indicador  16.1.1.3;45;8.75;11;Rondônia;9502;2019;5;Mulheres;1149;45 a 49 anos
Indicador  16.1.1.3;45;6.13;11;Rondônia;9502;2019;5;Mulheres;1150;50 a 54 anos
Indicador  16.1.1.3;45;2.51;11;Rondônia;9502;2019;5;Mulheres;1151;55 a 59 anos
Indicador  16.1.1.3;45;5.91;11;Rondônia;9502;2019;5;Mulheres;3302;60 anos ou mais
Indicador  16.1.1.3;45;2.79;11;Rondônia;9502;2020;4;Homens;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.00;11;Rondônia;9502;2020;4;Homens;1141;5 a 9 anos
Indicador  16.1.1.3;45;2.85;11;Rondônia;9502;2020;4;Homens;1142;10 a 14 anos
Indicador  16.1.1.3;45;44.45;11;Rondônia;9502;2020;4;Homens;1143;15 a 19 anos
Indicador  16.1.1.3;45;62.89;11;Rondônia;9502;2020;4;Homens;1144;20 a 24 anos
Indicador  16.1.1.3;45;53.25;11;Rondônia;9502;2020;4;Homens;1145;25 a 29 anos
Indicador  16.1.1.3;45;73.96;11;Rondônia;9502;2020;4;Homens;1146;30 a 34 anos
Indicador  16.1.1.3;45;84.11;11;Rondônia;9502;2020;4;Homens;1147;35 a 39 anos
Indicador  16.1.1.3;45;81.15;11;Rondônia;9502;2020;4;Homens;1148;40 a 44 anos
Indicador  16.1.1.3;45;65.11;11;Rondônia;9502;2020;4;Homens;1149;45 a 49 anos
Indicador  16.1.1.3;45;51.93;11;Rondônia;9502;2020;4;Homens;1150;50 a 54 anos
Indicador  16.1.1.3;45;29.56;11;Rondônia;9502;2020;4;Homens;1151;55 a 59 anos
Indicador  16.1.1.3;45;19.05;11;Rondônia;9502;2020;4;Homens;3302;60 anos ou mais
Indicador  16.1.1.3;45;1.46;11;Rondônia;9502;2020;5;Mulheres;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.00;11;Rondônia;9502;2020;5;Mulheres;1141;5 a 9 anos
Indicador  16.1.1.3;45;5.97;11;Rondônia;9502;2020;5;Mulheres;1142;10 a 14 anos
Indicador  16.1.1.3;45;4.08;11;Rondônia;9502;2020;5;Mulheres;1143;15 a 19 anos
Indicador  16.1.1.3;45;6.49;11;Rondônia;9502;2020;5;Mulheres;1144;20 a 24 anos
Indicador  16.1.1.3;45;8.96;11;Rondônia;9502;2020;5;Mulheres;1145;25 a 29 anos
Indicador  16.1.1.3;45;6.53;11;Rondônia;9502;2020;5;Mulheres;1146;30 a 34 anos
Indicador  16.1.1.3;45;10.71;11;Rondônia;9502;2020;5;Mulheres;1147;35 a 39 anos
Indicador  16.1.1.3;45;10.42;11;Rondônia;9502;2020;5;Mulheres;1148;40 a 44 anos
Indicador  16.1.1.3;45;5.12;11;Rondônia;9502;2020;5;Mulheres;1149;45 a 49 anos
Indicador  16.1.1.3;45;9.92;11;Rondônia;9502;2020;5;Mulheres;1150;50 a 54 anos
Indicador  16.1.1.3;45;2.41;11;Rondônia;9502;2020;5;Mulheres;1151;55 a 59 anos
Indicador  16.1.1.3;45;5.62;11;Rondônia;9502;2020;5;Mulheres;3302;60 anos ou mais
Indicador  16.1.1.3;45;0.00;11;Rondônia;9502;2021;4;Homens;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.00;11;Rondônia;9502;2021;4;Homens;1141;5 a 9 anos
Indicador  16.1.1.3;45;2.89;11;Rondônia;9502;2021;4;Homens;1142;10 a 14 anos
Indicador  16.1.1.3;45;42.94;11;Rondônia;9502;2021;4;Homens;1143;15 a 19 anos
Indicador  16.1.1.3;45;90.15;11;Rondônia;9502;2021;4;Homens;1144;20 a 24 anos
Indicador  16.1.1.3;45;108.77;11;Rondônia;9502;2021;4;Homens;1145;25 a 29 anos
Indicador  16.1.1.3;45;88.95;11;Rondônia;9502;2021;4;Homens;1146;30 a 34 anos
Indicador  16.1.1.3;45;75.02;11;Rondônia;9502;2021;4;Homens;1147;35 a 39 anos
Indicador  16.1.1.3;45;60.05;11;Rondônia;9502;2021;4;Homens;1148;40 a 44 anos
Indicador  16.1.1.3;45;49.94;11;Rondônia;9502;2021;4;Homens;1149;45 a 49 anos
Indicador  16.1.1.3;45;51.27;11;Rondônia;9502;2021;4;Homens;1150;50 a 54 anos
Indicador  16.1.1.3;45;59.56;11;Rondônia;9502;2021;4;Homens;1151;55 a 59 anos
Indicador  16.1.1.3;45;34.30;11;Rondônia;9502;2021;4;Homens;3302;60 anos ou mais
