ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_ETAPA_ENS;DESC_ETAPA_ENS
Indicador  4.c.1;1726;54.7;14;Roraima;9610;2007;41125;Ensino médio
Indicador  4.c.1;1726;82.5;14;Roraima;9610;2008;41122;Educação infantil
Indicador  4.c.1;1726;89.4;14;Roraima;9610;2008;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;28.3;14;Roraima;9610;2008;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;54.5;14;Roraima;9610;2008;41125;Ensino médio
Indicador  4.c.1;1726;78.9;14;Roraima;9610;2009;41122;Educação infantil
Indicador  4.c.1;1726;89.1;14;Roraima;9610;2009;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;34.3;14;Roraima;9610;2009;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;60.9;14;Roraima;9610;2009;41125;Ensino médio
Indicador  4.c.1;1726;74.0;14;Roraima;9610;2010;41122;Educação infantil
Indicador  4.c.1;1726;87.2;14;Roraima;9610;2010;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;31.5;14;Roraima;9610;2010;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;56.8;14;Roraima;9610;2010;41125;Ensino médio
Indicador  4.c.1;1726;69.8;14;Roraima;9610;2011;41122;Educação infantil
Indicador  4.c.1;1726;83.2;14;Roraima;9610;2011;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;38.1;14;Roraima;9610;2011;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;60.6;14;Roraima;9610;2011;41125;Ensino médio
Indicador  4.c.1;1726;67.2;14;Roraima;9610;2012;41122;Educação infantil
Indicador  4.c.1;1726;81.1;14;Roraima;9610;2012;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;36.9;14;Roraima;9610;2012;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;60.1;14;Roraima;9610;2012;41125;Ensino médio
Indicador  4.c.1;1726;63.9;14;Roraima;9610;2013;41122;Educação infantil
Indicador  4.c.1;1726;81.0;14;Roraima;9610;2013;41123;Ensino fundamental - anos iniciais
