ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_IDADE;DESC_IDADE;CODG_SIT_DOM;DESC_SIT_DOM;SUB_INDICADOR
Indicador  16.1.3.1;1572;109.326;24;Rio Grande do Norte;11392;2019;3299;30 a 39 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;24;Rio Grande do Norte;11392;2019;3299;30 a 39 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;24;Rio Grande do Norte;11392;2019;3299;30 a 39 anos;2;Rural;11392
Indicador  16.1.3.1;1572;147.230;24;Rio Grande do Norte;11392;2019;99127;40 a 59 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;24;Rio Grande do Norte;11392;2019;99127;40 a 59 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;24;Rio Grande do Norte;11392;2019;99127;40 a 59 anos;2;Rural;11392
Indicador  16.1.3.1;1572;63.586;24;Rio Grande do Norte;11392;2019;3302;60 anos ou mais;6795;Total;11392
Indicador  16.1.3.1;1572;-;24;Rio Grande do Norte;11392;2019;3302;60 anos ou mais;1;Urbana;11392
Indicador  16.1.3.1;1572;-;24;Rio Grande do Norte;11392;2019;3302;60 anos ou mais;2;Rural;11392
Indicador  16.1.3.1;1572;469.372;25;Paraíba;11392;2019;95253;Total;6795;Total;11392
Indicador  16.1.3.1;1572;-;25;Paraíba;11392;2019;95253;Total;1;Urbana;11392
Indicador  16.1.3.1;1572;-;25;Paraíba;11392;2019;95253;Total;2;Rural;11392
Indicador  16.1.3.1;1572;144.652;25;Paraíba;11392;2019;33061;18 a 29 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;25;Paraíba;11392;2019;33061;18 a 29 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;25;Paraíba;11392;2019;33061;18 a 29 anos;2;Rural;11392
Indicador  16.1.3.1;1572;96.056;25;Paraíba;11392;2019;3299;30 a 39 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;25;Paraíba;11392;2019;3299;30 a 39 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;25;Paraíba;11392;2019;3299;30 a 39 anos;2;Rural;11392
Indicador  16.1.3.1;1572;155.580;25;Paraíba;11392;2019;99127;40 a 59 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;25;Paraíba;11392;2019;99127;40 a 59 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;25;Paraíba;11392;2019;99127;40 a 59 anos;2;Rural;11392
Indicador  16.1.3.1;1572;73.083;25;Paraíba;11392;2019;3302;60 anos ou mais;6795;Total;11392
Indicador  16.1.3.1;1572;-;25;Paraíba;11392;2019;3302;60 anos ou mais;1;Urbana;11392
Indicador  16.1.3.1;1572;-;25;Paraíba;11392;2019;3302;60 anos ou mais;2;Rural;11392
Indicador  16.1.3.1;1572;1120.465;26;Pernambuco;11392;2019;95253;Total;6795;Total;11392
Indicador  16.1.3.1;1572;-;26;Pernambuco;11392;2019;95253;Total;1;Urbana;11392
Indicador  16.1.3.1;1572;-;26;Pernambuco;11392;2019;95253;Total;2;Rural;11392
Indicador  16.1.3.1;1572;363.499;26;Pernambuco;11392;2019;33061;18 a 29 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;26;Pernambuco;11392;2019;33061;18 a 29 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;26;Pernambuco;11392;2019;33061;18 a 29 anos;2;Rural;11392
Indicador  16.1.3.1;1572;234.954;26;Pernambuco;11392;2019;3299;30 a 39 anos;6795;Total;11392
